id;destination;passanger;weather;temperature;time;coupon;expiration;gender;age;maritalStatus;has_children;education;occupation;income;Bar;CoffeeHouse;CarryAway;RestaurantLessThan20;Restaurant20To50;toCoupon_GEQ5min;toCoupon_GEQ15min;toCoupon_GEQ25min;direction_same;direction_opp;Y
24;No Urgent Place;Friend(s);Sunny;80;10AM;Carry out & Take away;2h;Female;31;Single;0;Bachelors degree;Transportation & Material Moving;$25000 - $37499;less1;1~3;4~8;gt8;less1;1;1;0;0;1;1
25;No Urgent Place;Partner;Sunny;80;6PM;Bar;2h;Female;26;Married partner;0;Graduate degree (Masters or Doctorate);Community & Social Services;$50000 - $62499;less1;less1;less1;gt8;less1;1;1;0;0;1;0
26;Home;Alone;Sunny;80;6PM;Coffee House;2h;Male;36;Married partner;1;Associates degree;Management;$87500 - $99999;never;;less1;less1;never;1;0;0;1;0;0
27;No Urgent Place;Alone;Sunny;80;10AM;Coffee House;1d;Male;36;Married partner;0;Associates degree;Management;$100000 or More;1~3;1~3;1~3;1~3;1~3;1;1;0;0;1;0
28;No Urgent Place;Friend(s);Sunny;55;2PM;Carry out & Take away;1d;Female;50plus;Married partner;1;Associates degree;Legal;$100000 or More;less1;never;gt8;4~8;1~3;1;1;0;0;1;1
29;Work;Alone;Sunny;80;7AM;Coffee House;2h;Female;26;Single;1;High School Graduate;Unemployed;Less than $12500;less1;less1;4~8;1~3;never;1;1;0;1;0;0
30;No Urgent Place;Friend(s);Sunny;80;10AM;Restaurant(<20);1d;Male;26;Single;0;Bachelors degree;Unemployed;$62500 - $74999;4~8;never;4~8;1~3;less1;1;0;0;0;1;1
31;No Urgent Place;Friend(s);Snowy;30;2PM;Restaurant(<20);1d;Male;26;Single;0;Bachelors degree;Sales & Related;$75000 - $87499;never;never;1~3;4~8;1~3;1;0;0;0;1;1
32;No Urgent Place;Alone;Rainy;55;2PM;Carry out & Take away;2h;Male;21;Unmarried partner;0;High School Graduate;Food Preparation & Serving Related;$12500 - $24999;1~3;never;gt8;4~8;1~3;1;0;0;0;1;0
33;No Urgent Place;Alone;Sunny;80;10AM;Restaurant(<20);2h;Male;26;Unmarried partner;0;Graduate degree (Masters or Doctorate);Healthcare Practitioners & Technical;$25000 - $37499;less1;;1~3;never;never;1;0;0;0;1;0
34;No Urgent Place;Friend(s);Sunny;80;6PM;Restaurant(<20);2h;Male;21;Single;0;Some college - no degree;Student;$12500 - $24999;less1;never;less1;less1;less1;1;1;0;0;1;1
35;Home;Kid(s);Sunny;55;10PM;Restaurant(20-50);2h;Female;36;Married partner;1;Some college - no degree;Unemployed;Less than $12500;never;never;4~8;less1;less1;1;1;0;0;1;0
36;Work;Alone;Sunny;55;7AM;Coffee House;2h;Male;41;Married partner;1;Graduate degree (Masters or Doctorate);Education&Training&Library;$50000 - $62499;less1;4~8;4~8;1~3;less1;1;1;1;0;1;0
37;Home;Alone;Sunny;30;6PM;Carry out & Take away;2h;Female;41;Unmarried partner;1;Some college - no degree;Unemployed;Less than $12500;never;1~3;1~3;4~8;less1;1;1;0;1;0;1
38;Home;Alone;Sunny;80;6PM;Coffee House;2h;Female;26;Unmarried partner;0;Some college - no degree;Food Preparation & Serving Related;$25000 - $37499;less1;less1;1~3;less1;1~3;1;0;0;0;1;1
39;Home;Alone;Sunny;55;10PM;Carry out & Take away;1d;Female;50plus;Single;0;Graduate degree (Masters or Doctorate);Education&Training&Library;$12500 - $24999;never;never;4~8;4~8;less1;1;1;1;0;1;1
40;Work;Alone;Rainy;55;7AM;Carry out & Take away;2h;Female;36;Divorced;1;Bachelors degree;Sales & Related;$12500 - $24999;never;less1;1~3;less1;never;1;1;0;1;0;1
41;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;1d;Male;31;Single;1;High School Graduate;Management;$50000 - $62499;gt8;gt8;gt8;gt8;gt8;1;0;0;0;1;1
42;No Urgent Place;Friend(s);Sunny;80;6PM;Restaurant(<20);1d;Male;36;Married partner;1;Graduate degree (Masters or Doctorate);Transportation & Material Moving;$87500 - $99999;less1;less1;less1;1~3;less1;1;1;0;0;1;0
43;Work;Alone;Sunny;55;7AM;Coffee House;2h;Female;50plus;Married partner;1;Bachelors degree;Retired;$50000 - $62499;never;less1;4~8;1~3;less1;1;1;1;0;1;0
44;No Urgent Place;Partner;Sunny;80;2PM;Coffee House;2h;Male;21;Unmarried partner;0;Bachelors degree;Student;Less than $12500;1~3;less1;4~8;1~3;less1;1;0;0;0;1;0
45;No Urgent Place;Alone;Rainy;55;2PM;Carry out & Take away;2h;Female;50plus;Divorced;1;Some college - no degree;Personal Care & Service;$12500 - $24999;never;less1;1~3;1~3;less1;1;0;0;0;1;1
46;Work;Alone;Sunny;55;7AM;Bar;1d;Female;50plus;Married partner;1;Some college - no degree;Education&Training&Library;$25000 - $37499;never;less1;gt8;4~8;less1;1;1;1;0;1;0
47;No Urgent Place;Friend(s);Sunny;80;10AM;Coffee House;2h;Female;50plus;Widowed;1;High School Graduate;Retired;$12500 - $24999;never;less1;1~3;4~8;less1;1;0;0;0;1;1
48;Work;Alone;Sunny;80;7AM;Carry out & Take away;1d;Male;26;Married partner;1;Some college - no degree;Computer & Mathematical;$50000 - $62499;never;1~3;1~3;less1;1~3;1;0;0;1;0;1
49;Home;Alone;Sunny;80;6PM;Coffee House;2h;Female;36;Single;1;Graduate degree (Masters or Doctorate);Education&Training&Library;$37500 - $49999;less1;never;4~8;1~3;less1;1;1;1;0;1;0
50;Work;Alone;Sunny;80;7AM;Restaurant(<20);1d;Female;41;Married partner;1;Graduate degree (Masters or Doctorate);Business & Financial;$75000 - $87499;less1;1~3;gt8;4~8;less1;1;0;0;1;0;1
51;No Urgent Place;Alone;Sunny;55;10PM;Restaurant(20-50);1d;Male;26;Unmarried partner;0;Some college - no degree;Unemployed;$12500 - $24999;never;less1;1~3;4~8;less1;1;0;0;0;1;0
52;No Urgent Place;Friend(s);Sunny;80;6PM;Restaurant(<20);2h;Male;41;Married partner;1;Graduate degree (Masters or Doctorate);Architecture & Engineering;$100000 or More;less1;1~3;1~3;gt8;never;1;1;0;0;1;1
53;No Urgent Place;Friend(s);Sunny;80;6PM;Restaurant(<20);2h;Male;21;Single;0;Bachelors degree;Architecture & Engineering;$50000 - $62499;1~3;never;less1;4~8;never;1;1;0;0;1;1
54;No Urgent Place;Friend(s);Sunny;80;10AM;Carry out & Take away;2h;Male;41;Married partner;1;Graduate degree (Masters or Doctorate);Education&Training&Library;$50000 - $62499;never;1~3;1~3;1~3;less1;1;1;0;0;1;0
55;Home;Alone;Sunny;80;6PM;Coffee House;2h;Female;31;Single;0;Graduate degree (Masters or Doctorate);Life Physical Social Science;$50000 - $62499;1~3;4~8;4~8;4~8;4~8;1;0;0;0;1;0
56;No Urgent Place;Kid(s);Sunny;55;2PM;Restaurant(<20);1d;Female;50plus;Married partner;1;Associates degree;Arts Design Entertainment Sports & Media;$25000 - $37499;never;never;less1;1~3;never;1;1;0;0;1;0
57;No Urgent Place;Partner;Sunny;80;6PM;Restaurant(<20);2h;Female;26;Married partner;0;Associates degree;Management;$12500 - $24999;never;less1;gt8;4~8;never;1;0;0;0;1;1
58;Work;Alone;Sunny;55;7AM;Coffee House;1d;Male;21;Unmarried partner;0;Some college - no degree;Food Preparation & Serving Related;$12500 - $24999;1~3;less1;1~3;1~3;never;1;1;0;0;1;0
59;No Urgent Place;Friend(s);Sunny;80;10AM;Coffee House;2h;Male;26;Unmarried partner;0;Bachelors degree;Student;$50000 - $62499;1~3;gt8;4~8;1~3;less1;1;0;0;0;1;1
60;Home;Partner;Sunny;55;10PM;Bar;1d;Female;21;Single;0;Associates degree;Sales & Related;$25000 - $37499;4~8;1~3;4~8;1~3;less1;1;1;1;0;1;0
61;Home;Alone;Sunny;80;6PM;Coffee House;1d;Male;21;Unmarried partner;0;Some college - no degree;Education&Training&Library;$25000 - $37499;4~8;less1;1~3;less1;never;1;0;0;1;0;0
62;No Urgent Place;Friend(s);Sunny;80;2PM;Restaurant(20-50);2h;Female;41;Married partner;1;Graduate degree (Masters or Doctorate);Business & Financial;$87500 - $99999;less1;1~3;4~8;1~3;less1;1;1;0;0;1;0
63;Home;Kid(s);Sunny;55;10PM;Restaurant(20-50);2h;Female;41;Married partner;1;Associates degree;Unemployed;$62500 - $74999;less1;less1;less1;less1;less1;1;1;0;0;1;0
64;Work;Alone;Rainy;55;7AM;Bar;1d;Female;50plus;Married partner;0;Bachelors degree;Sales & Related;$50000 - $62499;1~3;4~8;less1;1~3;less1;1;1;1;0;1;1
65;No Urgent Place;Kid(s);Sunny;55;2PM;Coffee House;2h;Female;46;Married partner;1;Some college - no degree;Personal Care & Service;$37500 - $49999;never;less1;less1;1~3;less1;1;1;0;0;1;1
66;No Urgent Place;Friend(s);Sunny;80;10AM;Bar;1d;Male;41;Single;0;High School Graduate;Installation Maintenance & Repair;$12500 - $24999;less1;1~3;1~3;less1;never;1;0;0;0;1;1
67;Work;Alone;Snowy;30;7AM;Carry out & Take away;1d;Male;below21;Single;0;Some college - no degree;Student;$37500 - $49999;never;never;never;less1;less1;1;1;0;1;0;1
68;No Urgent Place;Partner;Sunny;80;10AM;Restaurant(20-50);1d;Female;46;Married partner;0;Some college - no degree;Arts Design Entertainment Sports & Media;$25000 - $37499;less1;4~8;1~3;1~3;less1;1;0;0;0;1;1
69;Home;Alone;Sunny;80;6PM;Coffee House;1d;Female;21;Married partner;1;Associates degree;Unemployed;$50000 - $62499;never;1~3;1~3;1~3;less1;1;1;0;0;1;0
70;Home;Alone;Sunny;80;10PM;Restaurant(<20);2h;Male;31;Married partner;1;Graduate degree (Masters or Doctorate);Education&Training&Library;$25000 - $37499;never;1~3;4~8;4~8;less1;1;0;0;1;0;0
71;Home;Alone;Sunny;30;6PM;Carry out & Take away;2h;Male;50plus;Widowed;0;Some college - no degree;Installation Maintenance & Repair;Less than $12500;never;never;1~3;less1;less1;1;1;0;1;0;1
72;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;1d;Female;26;Single;0;Bachelors degree;Healthcare Practitioners & Technical;$37500 - $49999;1~3;1~3;gt8;gt8;gt8;1;1;0;0;1;1
73;No Urgent Place;Alone;Sunny;80;10AM;Bar;1d;Male;21;Unmarried partner;0;Some college - no degree;Food Preparation & Serving Related;$12500 - $24999;1~3;less1;1~3;1~3;never;1;0;0;0;1;1
74;No Urgent Place;Friend(s);Rainy;55;6PM;Restaurant(<20);2h;Female;31;Married partner;0;Some college - no degree;Arts Design Entertainment Sports & Media;$100000 or More;less1;less1;gt8;4~8;1~3;1;0;0;0;1;1
75;No Urgent Place;Alone;Rainy;55;10AM;Coffee House;1d;Male;21;Single;1;Some college - no degree;Student;$62500 - $74999;never;never;4~8;1~3;1~3;1;1;0;0;1;1
76;No Urgent Place;Friend(s);Sunny;80;10AM;Carry out & Take away;2h;Female;36;Married partner;1;Graduate degree (Masters or Doctorate);Healthcare Practitioners & Technical;$87500 - $99999;less1;less1;1~3;4~8;less1;1;1;0;0;1;1
77;Work;Alone;Sunny;80;7AM;Carry out & Take away;1d;Female;50plus;Divorced;1;Graduate degree (Masters or Doctorate);Sales & Related;$37500 - $49999;less1;1~3;4~8;1~3;less1;1;0;0;1;0;0
78;Work;Alone;Sunny;80;7AM;Coffee House;2h;Female;31;Unmarried partner;0;Some High School;Computer & Mathematical;$12500 - $24999;1~3;1~3;4~8;1~3;less1;1;1;0;1;0;0
79;Home;Alone;Sunny;55;6PM;Restaurant(20-50);1d;Female;41;Married partner;1;Bachelors degree;Education&Training&Library;$100000 or More;less1;1~3;1~3;4~8;less1;1;1;0;0;1;1
80;Home;Alone;Snowy;30;10PM;Restaurant(<20);2h;Female;50plus;Divorced;1;Some college - no degree;Unemployed;$37500 - $49999;never;never;4~8;1~3;less1;1;1;1;0;1;0
81;No Urgent Place;Partner;Sunny;80;10AM;Bar;2h;Female;50plus;Unmarried partner;1;Some college - no degree;Retired;$37500 - $49999;never;1~3;less1;1~3;1~3;1;0;0;0;1;0
82;Work;Alone;Snowy;30;7AM;Bar;1d;Male;46;Single;0;Some college - no degree;Sales & Related;Less than $12500;1~3;1~3;4~8;4~8;4~8;1;1;1;0;1;1
83;No Urgent Place;Partner;Sunny;80;10AM;Coffee House;1d;Male;below21;Unmarried partner;0;Some college - no degree;Student;$12500 - $24999;less1;gt8;4~8;1~3;less1;1;0;0;0;1;1
84;Work;Alone;Sunny;80;7AM;Coffee House;2h;Female;26;Unmarried partner;0;Some college - no degree;Management;$37500 - $49999;less1;less1;less1;1~3;less1;1;1;0;1;0;0
85;Home;Alone;Snowy;30;10PM;Coffee House;2h;Male;21;Single;0;Some college - no degree;Computer & Mathematical;Less than $12500;never;4~8;4~8;4~8;never;1;1;0;0;1;1
86;No Urgent Place;Friend(s);Sunny;55;2PM;Carry out & Take away;1d;Male;36;Unmarried partner;1;Some college - no degree;Unemployed;$87500 - $99999;1~3;less1;4~8;1~3;less1;1;1;0;0;1;1
87;No Urgent Place;Friend(s);Sunny;80;10AM;Coffee House;2h;Male;46;Married partner;1;Graduate degree (Masters or Doctorate);Retired;$50000 - $62499;never;never;less1;4~8;1~3;1;1;0;0;1;1
88;No Urgent Place;Friend(s);Sunny;30;10AM;Carry out & Take away;2h;Male;31;Married partner;0;Bachelors degree;Sales & Related;$75000 - $87499;1~3;1~3;4~8;4~8;4~8;1;0;0;0;1;1
89;Home;Alone;Snowy;30;10PM;Restaurant(20-50);2h;Female;36;Married partner;1;Associates degree;Healthcare Practitioners & Technical;$75000 - $87499;less1;never;4~8;1~3;less1;1;0;0;0;1;0
90;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;2h;Female;31;Married partner;1;Bachelors degree;Life Physical Social Science;$37500 - $49999;never;less1;4~8;4~8;less1;1;1;0;0;1;1
91;Home;Alone;Snowy;30;10PM;Restaurant(20-50);2h;Female;50plus;Married partner;1;Some college - no degree;Personal Care & Service;$87500 - $99999;never;gt8;less1;1~3;less1;1;0;0;0;1;0
92;No Urgent Place;Friend(s);Sunny;55;2PM;Carry out & Take away;1d;Female;46;Single;1;Graduate degree (Masters or Doctorate);Management;$75000 - $87499;never;never;gt8;4~8;less1;1;1;0;0;1;1
93;Home;Alone;Rainy;55;6PM;Bar;1d;Male;31;Married partner;1;Some college - no degree;Farming Fishing & Forestry;$37500 - $49999;less1;less1;less1;1~3;less1;1;1;1;0;1;1
94;No Urgent Place;Alone;Sunny;55;2PM;Restaurant(<20);1d;Female;21;Single;0;Bachelors degree;Arts Design Entertainment Sports & Media;$12500 - $24999;never;1~3;gt8;1~3;1~3;1;0;0;0;1;1
95;Home;Alone;Snowy;30;10PM;Carry out & Take away;1d;Female;31;Single;0;Associates degree;Arts Design Entertainment Sports & Media;$75000 - $87499;;less1;gt8;1~3;less1;1;1;1;0;1;0
96;No Urgent Place;Friend(s);Sunny;80;10AM;Coffee House;2h;Male;26;Unmarried partner;0;Bachelors degree;Community & Social Services;$12500 - $24999;never;;less1;less1;less1;1;0;0;0;1;1
97;Home;Partner;Sunny;55;10PM;Bar;1d;Male;41;Married partner;0;Some college - no degree;Production Occupations;$25000 - $37499;less1;never;gt8;1~3;1~3;1;1;1;0;1;0
98;No Urgent Place;Friend(s);Sunny;30;10PM;Carry out & Take away;1d;Female;21;Single;0;Associates degree;Sales & Related;$25000 - $37499;4~8;1~3;4~8;1~3;less1;1;1;0;0;1;1
99;No Urgent Place;Friend(s);Sunny;80;2PM;Restaurant(<20);1d;Female;26;Single;0;Bachelors degree;Unemployed;Less than $12500;4~8;1~3;gt8;4~8;1~3;1;1;0;0;1;1
100;Home;Alone;Sunny;55;6PM;Restaurant(20-50);1d;Female;21;Single;0;Some college - no degree;Sales & Related;$12500 - $24999;never;4~8;4~8;4~8;never;1;1;0;0;1;1
101;Work;Alone;Sunny;55;7AM;Coffee House;2h;Female;26;Married partner;0;Bachelors degree;Healthcare Practitioners & Technical;$100000 or More;never;1~3;1~3;4~8;less1;1;1;0;0;1;0
102;Home;Alone;Sunny;30;6PM;Carry out & Take away;1d;Female;21;Single;0;Bachelors degree;Student;$25000 - $37499;never;never;less1;never;never;1;0;0;0;1;1
103;No Urgent Place;Partner;Sunny;80;10AM;Restaurant(20-50);2h;Female;26;Unmarried partner;0;Associates degree;Office & Administrative Support;$12500 - $24999;less1;1~3;1~3;1~3;1~3;1;0;0;0;1;1
104;No Urgent Place;Alone;Sunny;80;10AM;Coffee House;1d;Female;50plus;Married partner;1;Some college - no degree;Education&Training&Library;$50000 - $62499;less1;never;4~8;1~3;less1;1;1;0;0;1;1
105;No Urgent Place;Kid(s);Sunny;80;10AM;Restaurant(<20);1d;Female;21;Married partner;1;Some college - no degree;Unemployed;$87500 - $99999;less1;1~3;1~3;4~8;4~8;1;1;0;0;1;1
106;Work;Alone;Sunny;80;7AM;Coffee House;2h;Female;31;Married partner;1;Some college - no degree;Arts Design Entertainment Sports & Media;$12500 - $24999;never;1~3;4~8;4~8;never;1;1;0;1;0;1
107;No Urgent Place;Friend(s);Sunny;80;10AM;Carry out & Take away;2h;Male;26;Single;0;Bachelors degree;Office & Administrative Support;$50000 - $62499;4~8;never;4~8;1~3;less1;1;1;0;0;1;0
108;No Urgent Place;Partner;Sunny;80;10AM;Bar;2h;Male;26;Married partner;0;Bachelors degree;Life Physical Social Science;$37500 - $49999;less1;1~3;1~3;1~3;less1;1;0;0;0;1;0
109;No Urgent Place;Partner;Snowy;30;2PM;Coffee House;2h;Female;31;Married partner;0;Some college - no degree;Arts Design Entertainment Sports & Media;$100000 or More;less1;less1;gt8;4~8;less1;1;1;0;0;1;0
110;No Urgent Place;Alone;Sunny;80;2PM;Restaurant(<20);2h;Female;50plus;Divorced;1;Graduate degree (Masters or Doctorate);Sales & Related;$37500 - $49999;less1;1~3;4~8;1~3;less1;1;1;0;0;1;0
111;Work;Alone;Rainy;55;7AM;Restaurant(20-50);1d;Male;26;Single;0;High School Graduate;Unemployed;$37500 - $49999;gt8;gt8;gt8;gt8;gt8;1;1;1;0;1;1
112;Home;Alone;Sunny;80;10PM;Carry out & Take away;1d;Female;26;Single;0;Bachelors degree;Personal Care & Service;$12500 - $24999;never;;1~3;1~3;less1;1;0;0;1;0;0
113;No Urgent Place;Friend(s);Sunny;80;10AM;Coffee House;2h;Female;21;Married partner;0;Some college - no degree;Sales & Related;Less than $12500;never;never;4~8;4~8;less1;1;1;0;0;1;0
114;No Urgent Place;Alone;Sunny;80;10AM;Coffee House;1d;Female;26;Married partner;0;Bachelors degree;Unemployed;$87500 - $99999;1~3;less1;;less1;less1;1;1;0;0;1;1
115;No Urgent Place;Partner;Snowy;30;2PM;Coffee House;2h;Female;26;Married partner;0;Associates degree;Unemployed;$37500 - $49999;less1;1~3;1~3;1~3;1~3;1;1;0;0;1;1
116;Work;Alone;Sunny;55;7AM;Coffee House;2h;Male;21;Single;0;Bachelors degree;Arts Design Entertainment Sports & Media;$50000 - $62499;gt8;1~3;;4~8;less1;1;1;1;0;1;1
117;Work;Alone;Sunny;80;7AM;Carry out & Take away;1d;Male;50plus;Married partner;1;Graduate degree (Masters or Doctorate);Retired;$62500 - $74999;never;4~8;1~3;4~8;less1;1;1;1;0;1;1
118;No Urgent Place;Friend(s);Snowy;30;10PM;Carry out & Take away;1d;Female;26;Single;0;Some college - no degree;Healthcare Support;$37500 - $49999;never;less1;1~3;gt8;gt8;1;1;0;0;1;1
119;Work;Alone;Sunny;30;7AM;Carry out & Take away;1d;Female;26;Unmarried partner;0;Bachelors degree;Community & Social Services;$37500 - $49999;less1;never;1~3;less1;never;1;1;0;0;1;0
120;No Urgent Place;Partner;Sunny;80;2PM;Coffee House;2h;Male;21;Unmarried partner;0;Some college - no degree;Education&Training&Library;$25000 - $37499;4~8;less1;1~3;less1;never;1;0;0;0;1;0
121;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;2h;Female;21;Unmarried partner;0;Some college - no degree;Unemployed;$12500 - $24999;1~3;less1;1~3;1~3;less1;1;1;0;0;1;1
122;No Urgent Place;Partner;Sunny;80;10AM;Restaurant(20-50);1d;Female;50plus;Unmarried partner;1;Some college - no degree;Retired;$37500 - $49999;never;1~3;less1;1~3;1~3;1;0;0;0;1;0
123;No Urgent Place;Alone;Sunny;80;10AM;Bar;1d;Male;below21;Single;0;Some college - no degree;Student;Less than $12500;never;less1;gt8;1~3;never;1;0;0;0;1;1
124;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;1d;Male;21;Single;0;Some college - no degree;Computer & Mathematical;$25000 - $37499;less1;1~3;1~3;1~3;less1;1;1;0;0;1;1
125;Work;Alone;Rainy;55;7AM;Carry out & Take away;2h;Male;36;Single;0;Some college - no degree;Business & Financial;$37500 - $49999;never;less1;gt8;gt8;never;1;1;0;1;0;0
126;Home;Alone;Sunny;80;6PM;Coffee House;2h;Female;31;Married partner;1;Associates degree;Unemployed;$37500 - $49999;never;1~3;1~3;1~3;1~3;1;0;0;1;0;1
127;Home;Alone;Snowy;30;10PM;Restaurant(<20);2h;Female;below21;Unmarried partner;0;High School Graduate;Student;Less than $12500;never;4~8;1~3;4~8;less1;1;1;1;0;1;0
128;Work;Alone;Snowy;30;7AM;Carry out & Take away;1d;Male;26;Single;0;Some college - no degree;Unemployed;$87500 - $99999;never;1~3;4~8;less1;never;1;1;0;1;0;1
129;No Urgent Place;Kid(s);Rainy;55;10PM;Bar;1d;Female;21;Married partner;1;Some college - no degree;Student;$12500 - $24999;1~3;1~3;4~8;4~8;never;1;1;0;0;1;1
130;No Urgent Place;Kid(s);Sunny;80;2PM;Restaurant(<20);2h;Female;31;Married partner;1;Some college - no degree;Office & Administrative Support;$37500 - $49999;1~3;1~3;4~8;1~3;less1;1;0;0;0;1;1
131;No Urgent Place;Alone;Sunny;80;10AM;Bar;1d;Female;31;Unmarried partner;0;Some High School;Computer & Mathematical;$12500 - $24999;1~3;1~3;4~8;1~3;less1;1;0;0;0;1;1
132;Work;Alone;Sunny;80;7AM;Restaurant(20-50);1d;Male;36;Married partner;1;Graduate degree (Masters or Doctorate);Life Physical Social Science;$100000 or More;less1;4~8;1~3;1~3;less1;1;1;0;0;1;0
133;Home;Alone;Sunny;80;6PM;Coffee House;1d;Male;26;Single;0;Associates degree;Management;$37500 - $49999;4~8;1~3;4~8;1~3;less1;1;0;0;1;0;1
134;Home;Alone;Sunny;80;6PM;Coffee House;2h;Male;below21;Unmarried partner;0;Some college - no degree;Student;$12500 - $24999;less1;gt8;4~8;1~3;less1;1;1;1;0;1;0
135;No Urgent Place;Friend(s);Sunny;80;2PM;Coffee House;2h;Female;31;Married partner;0;Some college - no degree;Computer & Mathematical;$100000 or More;less1;less1;1~3;gt8;less1;1;1;0;0;1;1
